Date,Area,Building_name,Loop,Type,Usage
2017/03/07,北區,體育館,主迴路,行政,1185.63
2016/12/05,北區,學生十舍,主迴路,宿舍,1186.03
2017/02/06,北區,科學一館,主迴路,教學,1186.19
2017/04/03,北區,環保大樓,主迴路,教學,1186.2
2016/12/26,北區,學生九舍,主迴路,宿舍,1186.25
2016/10/14,北區,第二餐廳,1F動力1,外租,1186.25
2017/04/23,北區,學生九舍,主迴路,宿舍,1186.44
2017/01/02,南區,綜合一館,主迴路,教學,1186.5
2017/03/15,北區,體育館,主迴路,行政,1186.88
2016/12/12,北區,學生九舍,主迴路,宿舍,1186.88
2017/03/10,北區,學生十舍,主迴路,宿舍,1186.97
2017/05/28,南區,研究生二舍,主迴路,宿舍,1187
2016/09/30,南區,女二舍,1F自助餐,外租,1187
2016/12/17,南區,綜合一館,主迴路,教學,1187.5
2017/07/23,北區,工程二館,主迴路,教學,1187.75
2016/12/09,北區,學生九舍,主迴路,宿舍,1187.81
2016/11/07,北區,第二餐廳,1F動力1,外租,1188
2016/09/18,南區,土木結構,主迴路,教學,1188.5
2016/12/30,北區,科學一館,主迴路,教學,1188.63
2016/10/30,南區,服務大樓,主迴路,行政,1188.75
2016/10/28,北區,人社一館,主迴路,教學,1188.81
2017/01/11,北區,電資大樓,空調,行政,1189
2017/02/25,南區,學生十二舍,主迴路,宿舍,1189
2017/01/16,北區,科學一館,主迴路,教學,1189
2016/12/13,北區,學生十舍,主迴路,宿舍,1189.13
2017/03/12,北區,學生十舍,主迴路,宿舍,1189.19
2016/11/03,北區,學生十舍,主迴路,宿舍,1189.41
2017/01/18,南區,研究生二舍,主迴路,宿舍,1189.5
2016/09/22,南區,女二舍,1F自助餐,外租,1190
2017/02/08,南區,服務大樓,主迴路,行政,1190.25
2016/11/27,北區,電資大樓,空調,行政,1190.5
2017/05/04,北區,人社一館,主迴路,教學,1190.5
2016/12/21,南區,研究生二舍,主迴路,宿舍,1190.5
2016/12/05,南區,土木結構,主迴路,教學,1190.5
2016/09/19,北區,管理一館,主迴路,教學,1190.97
2017/03/30,南區,研究生二舍,主迴路,宿舍,1191
2017/01/05,北區,學生九舍,主迴路,宿舍,1191
2016/11/27,南區,綜合一館,主迴路,教學,1191
2017/05/12,南區,服務大樓,主迴路,行政,1192.25
2017/07/06,北區,第二餐廳,1F動力1,外租,1192.25
2017/04/27,南區,土木結構,主迴路,教學,1192.5
2017/04/06,南區,土木結構,主迴路,教學,1192.5
2017/03/09,南區,服務大樓,主迴路,行政,1192.5
2016/10/11,北區,第二餐廳,1F動力1,外租,1192.75
2016/12/16,南區,服務大樓,主迴路,行政,1193
2016/11/11,北區,學生十舍,主迴路,宿舍,1193.13
2017/01/04,北區,學生九舍,主迴路,宿舍,1193.31
2017/01/07,北區,學生九舍,主迴路,宿舍,1193.38
2016/12/05,南區,研究生二舍,主迴路,宿舍,1193.5
2016/11/24,南區,研究生二舍,主迴路,宿舍,1193.5
2016/11/04,南區,研究生二舍,主迴路,宿舍,1193.5
2017/03/23,北區,學生十舍,主迴路,宿舍,1193.63
2016/12/13,北區,體育館,主迴路,行政,1193.81
2017/06/16,南區,服務大樓,主迴路,行政,1194
2017/04/17,南區,服務大樓,主迴路,行政,1194
2017/03/21,南區,研究生二舍,主迴路,宿舍,1194.5
2017/03/20,南區,研究生二舍,主迴路,宿舍,1194.5
2016/11/10,北區,學生十舍,主迴路,宿舍,1194.56
2016/10/24,北區,人社二館,主迴路,教學,1194.88
2017/06/05,南區,服務大樓,主迴路,行政,1195
2017/02/03,南區,交映樓,主迴路,教學,1195.5
2017/01/12,北區,學生九舍,主迴路,宿舍,1195.56
2017/03/20,北區,學生十舍,主迴路,宿舍,1195.59
2016/12/20,北區,學生十舍,主迴路,宿舍,1195.59
2016/11/02,南區,研究生二舍,主迴路,宿舍,1196
2016/12/08,北區,學生九舍,主迴路,宿舍,1196.44
2016/12/13,南區,服務大樓,主迴路,行政,1196.5
2017/02/23,南區,服務大樓,主迴路,行政,1196.75
2016/11/28,南區,服務大樓,主迴路,行政,1196.75
2016/09/30,北區,人社一館,主迴路,教學,1196.83
2017/02/08,南區,研究生二舍,主迴路,宿舍,1197
2017/02/17,南區,管理二館,主迴路,教學,1197.5
2017/06/13,北區,人社二館,主迴路,教學,1197.88
2016/12/23,北區,學生十舍,主迴路,宿舍,1197.94
2017/04/29,南區,研究生二舍,主迴路,宿舍,1198
2016/11/26,南區,服務大樓,主迴路,行政,1198
2017/04/11,北區,工程二館,主迴路,教學,1198.06
2016/12/01,北區,學生九舍,主迴路,宿舍,1198.25
2016/10/29,北區,學生十一舍_研一舍,主迴路,宿舍,1198.25
2017/03/01,北區,學生十舍,主迴路,宿舍,1198.28
