weekday,時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
5,2017/6/9,北區                  ,光電大樓                ,主迴路                 ,教學                  ,14019.63
6,2017/6/10,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12764.13
7,2017/6/11,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12601.38
1,2017/6/12,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13950.25
2,2017/6/13,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13918.25
3,2017/6/14,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12783.13
4,2017/6/15,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11940.13
5,2017/6/16,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11577.25
6,2017/6/17,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10288.5
7,2017/6/18,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9797.5
1,2017/6/19,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11649.38
2,2017/6/20,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12737.13
3,2017/6/21,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13080
4,2017/6/22,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13386.5
5,2017/6/23,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13605.25
6,2017/6/24,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12089.25
7,2017/6/25,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11911
1,2017/6/26,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13629.75
2,2017/6/27,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13845.75
3,2017/6/28,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13886
4,2017/6/29,北區                  ,光電大樓                ,主迴路                 ,教學                  ,14011
5,2017/6/30,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13573
6,2017/7/1,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11907.5
7,2017/7/2,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11828
1,2017/7/3,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13594.75
2,2017/7/4,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13750
3,2017/7/5,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13760
4,2017/7/6,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13698.25
5,2017/7/7,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13098
6,2017/7/8,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10468.75
7,2017/7/9,北區                  ,光電大樓                ,主迴路                 ,教學                  ,4820.25
1,2017/7/10,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10870.75
2,2017/7/11,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13286.75
3,2017/7/12,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13283.25
4,2017/7/13,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13625
5,2017/7/14,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13465.25
6,2017/7/15,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11981.25
7,2017/7/16,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11730
1,2017/7/17,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13973.75
2,2017/7/18,北區                  ,光電大樓                ,主迴路                 ,教學                  ,14574
3,2017/7/19,北區                  ,光電大樓                ,主迴路                 ,教學                  ,14256.25
4,2017/7/20,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13953.25
5,2017/7/21,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13506.5
6,2017/7/22,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12231.75
7,2017/7/23,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12197.25
1,2017/7/24,北區                  ,光電大樓                ,主迴路                 ,教學                  ,14053.5
2,2017/7/25,北區                  ,光電大樓                ,主迴路                 ,教學                  ,14046.5
